ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
CO0220100,CO,CANON CITY,local_police,17582.0,robbery,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0410000,CO,MOFFAT,sheriff,4197.0,aggravated_assault,srs_return_a_annual,3.0,10.0,10.0,10.0,3.0,3.0,true_partial,False,True,True
CO0410000,CO,MOFFAT,sheriff,4197.0,burglary,srs_return_a_annual,6.0,10.0,10.0,10.0,6.0,6.0,true_partial,False,True,True
CO0410000,CO,MOFFAT,sheriff,4197.0,larceny,srs_return_a_annual,9.0,10.0,10.0,10.0,9.0,9.0,true_partial,False,True,True
CO0410000,CO,MOFFAT,sheriff,4197.0,motor_vehicle_theft,srs_return_a_annual,3.0,10.0,10.0,10.0,3.0,3.0,true_partial,False,True,True
CO0410000,CO,MOFFAT,sheriff,4197.0,murder,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
CO0410000,CO,MOFFAT,sheriff,4197.0,rape,srs_return_a_annual,1.0,10.0,10.0,10.0,1.0,1.0,true_partial,False,True,True
CO0410000,CO,MOFFAT,sheriff,4197.0,robbery,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
CO0560000,CO,SAN JUAN,sheriff,855.0,aggravated_assault,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0560000,CO,SAN JUAN,sheriff,855.0,burglary,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0560000,CO,SAN JUAN,sheriff,855.0,larceny,srs_return_a_annual,5.0,6.0,6.0,6.0,5.0,5.0,true_partial,False,True,True
CO0560000,CO,SAN JUAN,sheriff,855.0,motor_vehicle_theft,srs_return_a_annual,3.0,6.0,6.0,6.0,3.0,3.0,true_partial,False,True,True
CO0560000,CO,SAN JUAN,sheriff,855.0,murder,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0560000,CO,SAN JUAN,sheriff,855.0,rape,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0560000,CO,SAN JUAN,sheriff,855.0,robbery,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
CO0630200,CO,YUMA,local_police,3509.0,aggravated_assault,srs_return_a_annual,1.0,10.0,10.0,10.0,1.0,1.0,true_partial,False,True,True
CO0630200,CO,YUMA,local_police,3509.0,burglary,srs_return_a_annual,2.0,10.0,10.0,10.0,2.0,2.0,true_partial,False,True,True
CO0630200,CO,YUMA,local_police,3509.0,larceny,srs_return_a_annual,5.0,10.0,10.0,10.0,5.0,5.0,true_partial,False,True,True
CO0630200,CO,YUMA,local_police,3509.0,motor_vehicle_theft,srs_return_a_annual,5.0,10.0,10.0,10.0,5.0,5.0,true_partial,False,True,True
CO0630200,CO,YUMA,local_police,3509.0,murder,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
CO0630200,CO,YUMA,local_police,3509.0,rape,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
CO0630200,CO,YUMA,local_police,3509.0,robbery,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,aggravated_assault,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,burglary,srs_return_a_annual,1.0,6.0,6.0,6.0,1.0,1.0,true_partial,False,True,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,larceny,srs_return_a_annual,14.0,6.0,6.0,6.0,14.0,14.0,true_partial,False,True,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,motor_vehicle_theft,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,murder,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,rape,srs_return_a_annual,1.0,6.0,6.0,6.0,1.0,1.0,true_partial,False,True,True
FL0101200,FL,CLAY COUNTY SCHOOL BOARD,unknown,0.0,robbery,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
GA0140100,GA,QUITMAN,local_police,4097.0,aggravated_assault,srs_return_a_annual,3.0,9.0,9.0,9.0,3.0,3.0,true_partial,False,True,True
GA0140100,GA,QUITMAN,local_police,4097.0,burglary,srs_return_a_annual,16.0,9.0,9.0,9.0,16.0,16.0,true_partial,False,True,True
GA0140100,GA,QUITMAN,local_police,4097.0,larceny,srs_return_a_annual,42.0,9.0,9.0,9.0,42.0,42.0,true_partial,False,True,True
GA0140100,GA,QUITMAN,local_police,4097.0,motor_vehicle_theft,srs_return_a_annual,5.0,9.0,9.0,9.0,5.0,5.0,true_partial,False,True,True
GA0140100,GA,QUITMAN,local_police,4097.0,murder,nibrs_srs_equivalent_annual,0.0,9.0,9.0,9.0,0.0,0.0,true_partial,True,False,True
GA0140100,GA,QUITMAN,local_police,4097.0,rape,nibrs_srs_equivalent_annual,0.0,9.0,9.0,9.0,0.0,0.0,true_partial,True,False,True
GA0140100,GA,QUITMAN,local_police,4097.0,robbery,srs_return_a_annual,3.0,9.0,9.0,9.0,3.0,3.0,true_partial,False,True,True
GA0170100,GA,WAYNESBORO,local_police,5576.0,aggravated_assault,srs_return_a_annual,9.0,10.0,10.0,10.0,9.0,9.0,true_partial,False,True,True
GA0170100,GA,WAYNESBORO,local_police,5576.0,burglary,srs_return_a_annual,12.0,10.0,10.0,10.0,12.0,12.0,true_partial,False,True,True
